'SF 25' 'FS 17' 24.0
'FS 60' 'SF 84' 24.0
'FS 30' 'SF 87' 24.0
'FS 26' 'SF 48' 24.0
'FS 73' 'SF 30' 25.0
'FS 60' 'SF 3' 25.0
'SF 95' 'FS 57' 26.0
'SF 95' 'FS 12' 26.0
'FS 69' 'SF 85' 26.0
'FS 76' 'SF 95' 27.0
'FS 61' 'SF 4' 27.0
'FS 17' 'SF 39' 27.0
'SF 33' 'FS 41' 28.0
'FS 4' 'SF 85' 29.0
'FS 30' 'SF 48' 29.0
'SF 95' 'FS 55' 30.0
'FS 52' 'SF 39' 30.0
'FS 72' 'SF 48' 31.0
'SF 52' 'FS 55' 31.0
'SF 78' 'FS 35' 32.0
'FS 23' 'SF 30' 32.0
'FS 63' 'SF 88' 33.0
'SF 85' 'FS 35' 33.0
'FS 50' 'SF 30' 33.0
'SF 94' 'FS 15' 35.0
'SF 94' 'FS 35' 35.0
'SF 93' 'FS 26' 35.0
'FS 61' 'SF 48' 35.0
'FS 11' 'SF 30' 35.0
'FS 52' 'SF 5' 35.0
'SF 12' 'FS 26' 36.0
'FS 39' 'SF 30' 36.0
'SF 48' 'FS 42' 36.0
'SF 95' 'FS 24' 37.0
'SF 95' 'FS 18' 38.0
'SF 95' 'FS 58' 38.0
'FS 4' 'SF 65' 38.0
'SF 88' 'FS 46' 38.0
'FS 4' 'SF 8' 39.0
'FS 3' 'SF 4' 41.0
'FS 76' 'SF 72' 42.0
'SF 95' 'FS 17' 42.0
'FS 61' 'SF 30' 42.0
'FS 30' 'SF 30' 45.0
'FS 60' 'SF 88' 48.0
'FS 19' 'SF 47' 50.0
'SF 30' 'FS 41' 50.0
'FS 17' 'SF 5' 52.0
'SF 95' 'FS 52' 61.0
'FS 67' 'SF 72' 61.0
'FS 3' 'SF 30' 66.0
'FS 17' 'SF 72' 85.0
'SF 72' 'FS 52' 85.0
'FS 67' 'SF 5' 281.0
'SF 28' 'FS 54' 1.0
'SF 28' 'FS 56' 1.0
'SF 28' 'FS 74' 1.0
'SF 28' 'FS 38' 1.0
'SF 28' 'FS 14' 1.0
'SF 28' 'FS 36' 1.0
'SF 28' 'FS 9' 1.0
'SF 28' 'FS 5' 1.0
'SF 28' 'FS 40' 1.0
'SF 28' 'FS 37' 1.0
'SF 28' 'FS 66' 1.0
'SF 28' 'FS 61' 1.0
'SF 29' 'FS 50' 1.0
'SF 29' 'FS 53' 1.0
'SF 29' 'FS 54' 1.0
'SF 29' 'FS 59' 1.0
'SF 29' 'FS 76' 1.0
'SF 29' 'FS 75' 1.0
'SF 29' 'FS 73' 1.0
'SF 29' 'FS 70' 1.0
'SF 29' 'FS 17' 1.0
'SF 29' 'FS 16' 1.0
'SF 29' 'FS 11' 1.0
'SF 29' 'FS 26' 1.0
'SF 29' 'FS 32' 1.0
'SF 29' 'FS 6' 1.0
'SF 29' 'FS 1' 1.0
'SF 29' 'FS 25' 1.0
'SF 29' 'FS 40' 1.0
'SF 29' 'FS 28' 1.0
'SF 29' 'FS 35' 1.0
'SF 29' 'FS 34' 1.0
'SF 29' 'FS 48' 1.0
'SF 22' 'FS 50' 1.0
'SF 22' 'FS 52' 1.0
'SF 22' 'FS 55' 1.0
'SF 22' 'FS 57' 1.0
'SF 22' 'FS 72' 1.0
'SF 22' 'FS 39' 1.0
'SF 22' 'FS 38' 1.0
'SF 22' 'FS 19' 1.0
'SF 22' 'FS 30' 1.0
'SF 22' 'FS 3' 1.0
'SF 22' 'FS 24' 1.0
'SF 22' 'FS 43' 1.0
'SF 22' 'FS 27' 1.0
'SF 22' 'FS 44' 1.0
'SF 22' 'FS 45' 1.0
'SF 22' 'FS 60' 1.0
'SF 22' 'FS 66' 1.0
'SF 23' 'FS 24' 1.0
'SF 23' 'FS 69' 1.0
'SF 23' 'FS 26' 1.0
'SF 23' 'FS 27' 1.0
'SF 23' 'FS 43' 1.0
'SF 23' 'FS 63' 1.0
'SF 23' 'FS 28' 1.0
'SF 23' 'FS 70' 1.0
'SF 23' 'FS 39' 1.0
'SF 23' 'FS 42' 1.0
'SF 23' 'FS 5' 1.0
'SF 23' 'FS 4' 1.0
'SF 20' 'FS 68' 1.0
'SF 20' 'FS 24' 1.0
'SF 20' 'FS 63' 1.0
'SF 20' 'FS 20' 1.0
'SF 20' 'FS 57' 1.0
'SF 20' 'FS 74' 1.0
'SF 20' 'FS 73' 1.0
'SF 20' 'FS 5' 1.0
'SF 20' 'FS 11' 1.0
'SF 20' 'FS 52' 1.0
'SF 21' 'FS 65' 1.0
'SF 21' 'FS 50' 1.0
'SF 21' 'FS 53' 1.0
'SF 21' 'FS 54' 1.0
'SF 21' 'FS 59' 1.0
'SF 21' 'FS 70' 1.0
'SF 21' 'FS 11' 1.0
'SF 21' 'FS 36' 1.0
'SF 21' 'FS 5' 1.0
'SF 21' 'FS 3' 1.0
'SF 21' 'FS 2' 1.0
'SF 21' 'FS 43' 1.0
'SF 21' 'FS 61' 1.0
'SF 21' 'FS 62' 1.0
'SF 21' 'FS 29' 1.0
'SF 26' 'FS 50' 1.0
'SF 26' 'FS 53' 1.0
'SF 26' 'FS 54' 1.0
'SF 26' 'FS 57' 1.0
'SF 26' 'FS 56' 1.0
'SF 26' 'FS 59' 1.0
'SF 26' 'FS 75' 1.0
'SF 26' 'FS 70' 1.0
'SF 26' 'FS 39' 1.0
'SF 26' 'FS 37' 1.0
'SF 26' 'FS 36' 1.0
'SF 26' 'FS 15' 1.0
'SF 26' 'FS 8' 1.0
'SF 26' 'FS 20' 1.0
'SF 26' 'FS 69' 1.0
'SF 26' 'FS 22' 1.0
'SF 26' 'FS 45' 1.0
'SF 26' 'FS 11' 1.0
'SF 26' 'FS 35' 1.0
'SF 27' 'FS 50' 1.0
'SF 27' 'FS 54' 1.0
'SF 27' 'FS 56' 1.0
'SF 27' 'FS 76' 1.0
'SF 27' 'FS 75' 1.0
'SF 27' 'FS 74' 1.0
'SF 27' 'FS 30' 1.0
'SF 27' 'FS 37' 1.0
'SF 27' 'FS 16' 1.0
'SF 27' 'FS 1' 1.0
'SF 27' 'FS 2' 1.0
'SF 27' 'FS 43' 1.0
'SF 27' 'FS 40' 1.0
'SF 27' 'FS 46' 1.0
'SF 27' 'FS 45' 1.0
'SF 27' 'FS 60' 1.0
'SF 27' 'FS 65' 1.0
'SF 24' 'FS 51' 1.0
'SF 24' 'FS 50' 1.0
'SF 24' 'FS 56' 1.0
'SF 24' 'FS 72' 1.0
'SF 24' 'FS 39' 1.0
'SF 24' 'FS 38' 1.0
'SF 24' 'FS 14' 1.0
'SF 24' 'FS 34' 1.0
'SF 24' 'FS 7' 1.0
'SF 24' 'FS 24' 1.0
'SF 24' 'FS 41' 1.0
'SF 24' 'FS 22' 1.0
'SF 24' 'FS 45' 1.0
'SF 24' 'FS 62' 1.0
'SF 24' 'FS 29' 1.0
'SF 24' 'FS 12' 1.0
'SF 24' 'FS 48' 1.0
'SF 25' 'FS 63' 1.0
'SF 25' 'FS 55' 1.0
'SF 25' 'FS 74' 1.0
'SF 25' 'FS 33' 1.0
'SF 25' 'FS 16' 1.0
'SF 25' 'FS 36' 1.0
'SF 25' 'FS 12' 1.0
'SF 25' 'FS 6' 1.0
'SF 25' 'FS 1' 1.0
'SF 25' 'FS 26' 1.0
'SF 25' 'FS 28' 1.0
